Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SepalArea,PetalArea
1,5.1,3.5,1.4,0.2,1,17.85,0.28
2,4.9,3.0,1.4,0.2,1,14.7,0.28
3,4.7,3.2,1.3,0.2,1,15.04,0.26
4,4.6,3.1,1.5,0.2,1,14.26,0.30000000000000004
5,5.0,3.6,1.4,0.2,1,18.0,0.28
6,5.4,3.9,1.7000000000000002,0.4,1,21.06,0.68
7,4.6,3.4,1.4,0.30000000000000004,1,15.64,0.42
8,5.0,3.4,1.5,0.2,1,17.0,0.30000000000000004
9,4.4,2.9,1.4,0.2,1,12.76,0.28
10,4.9,3.1,1.5,0.1,1,15.19,0.15
11,5.4,3.7,1.5,0.2,1,19.98,0.30000000000000004
12,4.8,3.4,1.6,0.2,1,16.32,0.32
13,4.8,3.0,1.4,0.1,1,14.4,0.14
14,4.3,3.0,1.1,0.1,1,12.9,0.11
15,5.8,4.0,1.2,0.2,1,23.2,0.24
16,5.7,4.4,1.5,0.4,1,25.08,0.6000000000000001
17,5.4,3.9,1.3,0.4,1,21.06,0.52
18,5.1,3.5,1.4,0.30000000000000004,1,17.85,0.42
19,5.7,3.8,1.7000000000000002,0.30000000000000004,1,21.66,0.51
20,5.1,3.8,1.5,0.30000000000000004,1,19.38,0.45
21,5.4,3.4,1.7000000000000002,0.2,1,18.36,0.34
22,5.1,3.7,1.5,0.4,1,18.87,0.6000000000000001
23,4.6,3.6,1.0,0.2,1,16.56,0.2
24,5.1,3.3,1.7000000000000002,0.5,1,16.83,0.85
25,4.8,3.4,1.9,0.2,1,16.32,0.38
26,5.0,3.0,1.6,0.2,1,15.0,0.32
27,5.0,3.4,1.6,0.4,1,17.0,0.64
28,5.2,3.5,1.5,0.2,1,18.2,0.30000000000000004
29,5.2,3.4,1.4,0.2,1,17.68,0.28
30,4.7,3.2,1.6,0.2,1,15.04,0.32
31,4.8,3.1,1.6,0.2,1,14.88,0.32
32,5.4,3.4,1.5,0.4,1,18.36,0.6000000000000001
33,5.2,4.1,1.5,0.1,1,21.32,0.15
34,5.5,4.2,1.4,0.2,1,23.1,0.28
35,4.9,3.1,1.5,0.1,1,15.19,0.15
36,5.0,3.2,1.2,0.2,1,16.0,0.24
37,5.5,3.5,1.3,0.2,1,19.25,0.26
38,4.9,3.1,1.5,0.1,1,15.19,0.15
39,4.4,3.0,1.3,0.2,1,13.2,0.26
40,5.1,3.4,1.5,0.2,1,17.34,0.30000000000000004
41,5.0,3.5,1.3,0.30000000000000004,1,17.5,0.39
42,4.5,2.3,1.3,0.30000000000000004,1,10.35,0.39
43,4.4,3.2,1.3,0.2,1,14.08,0.26
44,5.0,3.5,1.6,0.6000000000000001,1,17.5,0.96
45,5.1,3.8,1.9,0.4,1,19.38,0.76
46,4.8,3.0,1.4,0.30000000000000004,1,14.4,0.42
47,5.1,3.8,1.6,0.2,1,19.38,0.32
48,4.6,3.2,1.4,0.2,1,14.72,0.28
49,5.3,3.7,1.5,0.2,1,19.61,0.30000000000000004
50,5.0,3.3,1.4,0.2,1,16.5,0.28
51,7.0,3.2,4.7,1.4,2,22.4,6.58
52,6.4,3.2,4.5,1.5,2,20.48,6.75
53,6.9,3.1,4.9,1.5,2,21.39,7.35
54,5.5,2.3,4.0,1.3,2,12.65,5.2
55,6.5,2.8,4.6,1.5,2,18.2,6.9
56,5.7,2.8,4.5,1.3,2,15.96,5.85
57,6.3,3.3,4.7,1.6,2,20.79,7.52
58,4.9,2.4,3.3,1.0,2,11.76,3.3
59,6.6,2.9,4.6,1.3,2,19.14,5.98
60,5.2,2.7,3.9,1.4,2,14.04,5.46
61,5.0,2.0,3.5,1.0,2,10.0,3.5
62,5.9,3.0,4.2,1.5,2,17.7,6.3
63,6.0,2.2,4.0,1.0,2,13.2,4.0
64,6.1,2.9,4.7,1.4,2,17.69,6.58
65,5.6,2.9,3.6,1.3,2,16.24,4.68
66,6.7,3.1,4.4,1.4,2,20.77,6.16
67,5.6,3.0,4.5,1.5,2,16.8,6.75
68,5.8,2.7,4.1,1.0,2,15.66,4.1
69,6.2,2.2,4.5,1.5,2,13.64,6.75
70,5.6,2.5,3.9,1.1,2,14.0,4.29
71,5.9,3.2,4.8,1.8,2,18.88,8.64
72,6.1,2.8,4.0,1.3,2,17.08,5.2
73,6.3,2.5,4.9,1.5,2,15.75,7.35
74,6.1,2.8,4.7,1.2,2,17.08,5.64
75,6.4,2.9,4.3,1.3,2,18.56,5.59
76,6.6,3.0,4.4,1.4,2,19.8,6.16
77,6.8,2.8,4.8,1.4,2,19.04,6.72
78,6.7,3.0,5.0,1.7000000000000002,2,20.1,8.5
79,6.0,2.9,4.5,1.5,2,17.4,6.75
80,5.7,2.6,3.5,1.0,2,14.82,3.5
81,5.5,2.4,3.8,1.1,2,13.2,4.18
82,5.5,2.4,3.7,1.0,2,13.2,3.7
83,5.8,2.7,3.9,1.2,2,15.66,4.68
84,6.0,2.7,5.1,1.6,2,16.2,8.16
85,5.4,3.0,4.5,1.5,2,16.2,6.75
86,6.0,3.4,4.5,1.6,2,20.4,7.2
87,6.7,3.1,4.7,1.5,2,20.77,7.05
88,6.3,2.3,4.4,1.3,2,14.49,5.72
89,5.6,3.0,4.1,1.3,2,16.8,5.33
90,5.5,2.5,4.0,1.3,2,13.75,5.2
91,5.5,2.6,4.4,1.2,2,14.3,5.28
92,6.1,3.0,4.6,1.4,2,18.3,6.44
93,5.8,2.6,4.0,1.2,2,15.08,4.8
94,5.0,2.3,3.3,1.0,2,11.5,3.3
95,5.6,2.7,4.2,1.3,2,15.12,5.46
96,5.7,3.0,4.2,1.2,2,17.1,5.04
97,5.7,2.9,4.2,1.3,2,16.53,5.46
98,6.2,2.9,4.3,1.3,2,17.98,5.59
99,5.1,2.5,3.0,1.1,2,12.75,3.3
100,5.7,2.8,4.1,1.3,2,15.96,5.33
101,6.3,3.3,6.0,2.5,3,20.79,15.0
102,5.8,2.7,5.1,1.9,3,15.66,9.69
103,7.1,3.0,5.9,2.1,3,21.3,12.39
104,6.3,2.9,5.6,1.8,3,18.27,10.08
105,6.5,3.0,5.8,2.2,3,19.5,12.76
106,7.6,3.0,6.6,2.1,3,22.8,13.86
107,4.9,2.5,4.5,1.7000000000000002,3,12.25,7.65
108,7.3,2.9,6.3,1.8,3,21.17,11.34
109,6.7,2.5,5.8,1.8,3,16.75,10.44
110,7.2,3.6,6.1,2.5,3,25.92,15.25
111,6.5,3.2,5.1,2.0,3,20.8,10.2
112,6.4,2.7,5.3,1.9,3,17.28,10.07
113,6.8,3.0,5.5,2.1,3,20.4,11.55
114,5.7,2.5,5.0,2.0,3,14.25,10.0
115,5.8,2.8,5.1,2.4,3,16.24,12.24
116,6.4,3.2,5.3,2.3,3,20.48,12.19
117,6.5,3.0,5.5,1.8,3,19.5,9.9
118,7.7,3.8,6.7,2.2,3,29.26,14.74
119,7.7,2.6,6.9,2.3,3,20.02,15.87
120,6.0,2.2,5.0,1.5,3,13.2,7.5
121,6.9,3.2,5.7,2.3,3,22.08,13.11
122,5.6,2.8,4.9,2.0,3,15.68,9.8
123,7.7,2.8,6.7,2.0,3,21.56,13.4
124,6.3,2.7,4.9,1.8,3,17.01,8.82
125,6.7,3.3,5.7,2.1,3,22.11,11.97
126,7.2,3.2,6.0,1.8,3,23.04,10.8
127,6.2,2.8,4.8,1.8,3,17.36,8.64
128,6.1,3.0,4.9,1.8,3,18.3,8.82
129,6.4,2.8,5.6,2.1,3,17.92,11.76
130,7.2,3.0,5.8,1.6,3,21.6,9.28
131,7.4,2.8,6.1,1.9,3,20.72,11.59
132,7.9,3.8,6.4,2.0,3,30.02,12.8
133,6.4,2.8,5.6,2.2,3,17.92,12.32
134,6.3,2.8,5.1,1.5,3,17.64,7.65
135,6.1,2.6,5.6,1.4,3,15.86,7.84
136,7.7,3.0,6.1,2.3,3,23.1,14.03
137,6.3,3.4,5.6,2.4,3,21.42,13.44
138,6.4,3.1,5.5,1.8,3,19.84,9.9
139,6.0,3.0,4.8,1.8,3,18.0,8.64
140,6.9,3.1,5.4,2.1,3,21.39,11.34
141,6.7,3.1,5.6,2.4,3,20.77,13.44
142,6.9,3.1,5.1,2.3,3,21.39,11.73
143,5.8,2.7,5.1,1.9,3,15.66,9.69
144,6.8,3.2,5.9,2.3,3,21.76,13.57
145,6.7,3.3,5.7,2.5,3,22.11,14.25
146,6.7,3.0,5.2,2.3,3,20.1,11.96
147,6.3,2.5,5.0,1.9,3,15.75,9.5
148,6.5,3.0,5.2,2.0,3,19.5,10.4
149,6.2,3.4,5.4,2.3,3,21.08,12.42
150,5.9,3.0,5.1,1.8,3,17.7,9.18
